vtitle,address,telephone,description,hour,hotel,beauty,supply,homepage
청담우리동물병원,서울특별시 강남구 삼성로 614,02-541-7515,"슬개골 탈구 수술, 심장초음파, 중성화수술, 응급실운영",TRUE,FALSE,FALSE,FALSE,http://www.chungdamah.co.kr/
24시 우리들동물병원,서울특별시 양천구 목동로 161,02-2642-7588,,FALSE,FALSE,FALSE,FALSE,http://www.wooridleclinic.kr/main/
혜인종합동물병원,서울특별시 양천구 등촌로 218,02-2645-1475,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/dvmmoon
VIP동물의료센터,서울특별시 성북구 동소문로 73,02-953-0075,,FALSE,FALSE,FALSE,FALSE,http://www.vipah.co.kr/
스마트 동물병원,서울특별시 강남구 선릉로 418,02-554-7582,,TRUE,FALSE,FALSE,FALSE,http://blog.naver.com/smart7582/
예은동물병원,서울특별시 강남구 도곡로 189,02-529-5575,,FALSE,FALSE,FALSE,FALSE,http://www.yeah4u.co.kr/
나래동물병원,서울특별시 광진구 능동로 283,02-463-3216,"애견미용실 및 호텔 운영, 용품 판매",FALSE,TRUE,TRUE,TRUE,
스마트 동물병원 신사본원,서울특별시 강남구 도산대로 213,02-549-0275,"애견 진료, 호텔, 미용, 용품, 정형외과, 슬개골탈구 수술",FALSE,TRUE,TRUE,TRUE,http://blog.naver.com/smart7582
24시 스마트 동물메디컬센터,서울특별시 은평구 은평로 93,02-387-7582,"노령견 전문, 고양이 전문, 수술 전문, 응급진료",TRUE,FALSE,FALSE,FALSE,http://blog.naver.com/eosksh
드림 동물병원,서울특별시 강남구 역삼로 234,02-508-7583,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/dreamamc
지구촌동물메디컬센터,서울특별시 구로구 구로중앙로32길 14,02-869-7582,"응급진료, 외과수술, 피부과, 안과 전문",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/dr_jiguchon
라온펫동물의료센터,서울특별시 강남구 남부순환로 2912,02-555-2272,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/raonpet
내방동물병원,서울특별시 서초구 서초대로 108,02-3473-8275,"애견용품, 애견미용, 예방접종",TRUE,FALSE,TRUE,TRUE,http://nbanimal.com/
고양이병원 백산동물병원,서울특별시 강남구 논현로86길 22,1644-5653,"고양이전문, 건강검진, 진료, 수술전문, 중성화, 미용",TRUE,FALSE,TRUE,FALSE,http://thecatclinic.co.kr/
이든동물의료센터,서울특별시 영등포구 양평로 5,02-2635-2475,,FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/edenamc2
더샵동물병원,서울특별시 송파구 오금로 45,02-416-7512,"강아지, 중성화, 슬개골 탈구, 자궁축농증 수술, 암, 종양 등",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/thesharpah
VIP동물의료센터 장안점,서울특별시 동대문구 답십리로 298,02-2215-7522,"고양이, 외과, 슬개골, 골절, 치과",TRUE,FALSE,FALSE,FALSE,http://www.vipah.co.kr/
내품에동물병원,서울특별시 강동구 천호대로 1120,02-477-1775,"반려동물, 강아지, 고양이 전문",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/mylovehug
교대동물병원,서울특별시 서초구 서초대로 325,02-596-1175,"애완동물 중성화, 치과",FALSE,FALSE,FALSE,FALSE,http://blog.naver.com/kyodaeah
