vtitle,homepage,description,telephone,address,hour,hotel,beauty,supply
청담우리동물병원,http://www.chungdamah.co.kr/,"슬개골 탈구 수술, 심장초음파, 중성화수술, 응급실운영",02-541-7515,서울특별시 강남구 삼성로 614,TRUE,FALSE,FALSE,FALSE
24시 우리들동물병원,http://www.wooridleclinic.kr/main/,,02-2642-7588,서울특별시 양천구 목동로 161,FALSE,FALSE,FALSE,FALSE
혜인종합동물병원,http://blog.naver.com/dvmmoon,,02-2645-1475,서울특별시 양천구 등촌로 218,FALSE,FALSE,FALSE,FALSE
VIP동물의료센터,http://www.vipah.co.kr/,,02-953-0075,서울특별시 성북구 동소문로 73,FALSE,FALSE,FALSE,FALSE
스마트 동물병원,http://blog.naver.com/smart7582/,,02-554-7582,서울특별시 강남구 선릉로 418,TRUE,FALSE,FALSE,FALSE
예은동물병원,http://www.yeah4u.co.kr/,,02-529-5575,서울특별시 강남구 도곡로 189,FALSE,FALSE,FALSE,FALSE
나래동물병원,,"애견미용실 및 호텔 운영, 용품 판매",02-463-3216,서울특별시 광진구 능동로 283,FALSE,TRUE,TRUE,TRUE
스마트 동물병원 신사본원,http://blog.naver.com/smart7582,"애견 진료, 호텔, 미용, 용품, 정형외과, 슬개골탈구 수술",02-549-0275,서울특별시 강남구 도산대로 213,FALSE,TRUE,TRUE,TRUE
24시 스마트 동물메디컬센터,http://blog.naver.com/eosksh,"노령견 전문, 고양이 전문, 수술 전문, 응급진료",02-387-7582,서울특별시 은평구 은평로 93,TRUE,FALSE,FALSE,FALSE
드림 동물병원,http://blog.naver.com/dreamamc,,02-508-7583,서울특별시 강남구 역삼로 234,FALSE,FALSE,FALSE,FALSE
지구촌동물메디컬센터,http://blog.naver.com/dr_jiguchon,"응급진료, 외과수술, 피부과, 안과 전문",02-869-7582,서울특별시 구로구 구로중앙로32길 14,FALSE,FALSE,FALSE,FALSE
라온펫동물의료센터,http://blog.naver.com/raonpet,,02-555-2272,서울특별시 강남구 남부순환로 2912,FALSE,FALSE,FALSE,FALSE
내방동물병원,http://nbanimal.com/,"애견용품, 애견미용, 예방접종",02-3473-8275,서울특별시 서초구 서초대로 108,TRUE,FALSE,TRUE,TRUE
고양이병원 백산동물병원,http://thecatclinic.co.kr/,"고양이전문, 건강검진, 진료, 수술전문, 중성화, 미용",1644-5653,서울특별시 강남구 논현로86길 22,TRUE,FALSE,TRUE,FALSE
이든동물의료센터,http://blog.naver.com/edenamc2,,02-2635-2475,서울특별시 영등포구 양평로 5,FALSE,FALSE,FALSE,FALSE
더샵동물병원,http://blog.naver.com/thesharpah,"강아지, 중성화, 슬개골 탈구, 자궁축농증 수술, 암, 종양 등",02-416-7512,서울특별시 송파구 오금로 45,FALSE,FALSE,FALSE,FALSE
VIP동물의료센터 장안점,http://www.vipah.co.kr/,"고양이, 외과, 슬개골, 골절, 치과",02-2215-7522,서울특별시 동대문구 답십리로 298,TRUE,FALSE,FALSE,FALSE
내품에동물병원,http://blog.naver.com/mylovehug,"반려동물, 강아지, 고양이 전문",02-477-1775,서울특별시 강동구 천호대로 1120,FALSE,FALSE,FALSE,FALSE
교대동물병원,http://blog.naver.com/kyodaeah,"애완동물 중성화, 치과",02-596-1175,서울특별시 서초구 서초대로 325,FALSE,FALSE,FALSE,FALSE
강서YD동물의료센터,http://blog.naver.com/ydamc,"진료, 용품, 미용, 분양, 호텔 등",02-518-7500,서울특별시 강서구 화곡로 371,FALSE,TRUE,TRUE,TRUE
이리온,http://www.irion.co.kr/,,02-1577-6125,서울특별시 강남구 도산대로 445,FALSE,FALSE,FALSE,FALSE
강북24시N동물의료센터,http://www.namc.co.kr/,,02-984-0075,서울특별시 성북구 삼양로4길 3,FALSE,FALSE,FALSE,FALSE
이룸 동물병원,http://blog.naver.com/erumah,"강아지, 호텔, 미용, 놀이방, 응급진료, 야간진료, 무마취 미용, 대형견 미용",02-419-7580,서울특별시 송파구 삼학사로 44,TRUE,TRUE,TRUE,FALSE
하니동물의료센터,http://www.dogdr.co.kr/,"고양이, 개불임 및 중성화 수술, 혈액검사, 호흡마취 등 진료 전문",02-2647-1772,서울특별시 양천구 등촌로 58,FALSE,FALSE,FALSE,FALSE
24시잠실on동물병원,,,02-418-0724,서울특별시 송파구 올림픽로 76,TRUE,FALSE,FALSE,FALSE
24시 북악동물병원,http://blog.naver.com/documania,"슬개골 탈구, 정형외과 수술 전문병원, 노령견 수술 전문, 심장 클리닉, 신부전 센터, 고양이 전문",02-941-7900,서울특별시 성북구 정릉로 272-9,TRUE,FALSE,FALSE,FALSE
24시OK동물병원,http://www.okamc.co.kr/,"박사출신 외과전문, 분야별 진료, 난치, 노령질환전문, 고양이전문, 고급호텔",02-569-7582,서울특별시 강남구 선릉로 338,TRUE,TRUE,FALSE,FALSE
가재울두리틀동물병원,http://blog.naver.com/drdolittle,"강아지, 고양이 진료, 노령견전문, 심장병, 유선종양, 수술 전문",02-302-3275,서울특별시 서대문구 응암로 66,FALSE,FALSE,FALSE,FALSE
닥터멍동물병원,http://blog.naver.com/dm5547505,"응급진료, 애견 호텔 및 놀이터, 야외 테라스, 애완동물 복합문화공간 진료센터",02-554-7505,서울특별시 강남구 논현로 515,FALSE,TRUE,FALSE,FALSE
압구정웰동물병원,http://blog.naver.com/atylnb,,02-3443-0275,서울특별시 강남구 압구정로 108,FALSE,FALSE,FALSE,FALSE
왕십리조은동물병원,http://blog.naver.com/joeunhoyoung,,02-2297-0075,서울특별시 성동구 왕십리로 347,FALSE,FALSE,FALSE,FALSE
아이윌24시동물병원,http://iwill24.co.kr/,,02-6925-7021,서울특별시 강남구 학동로 437,TRUE,FALSE,FALSE,FALSE
치료멍멍 동물의료센터,http://blog.naver.com/vet1120,,,서울특별시 서초구 사평대로 68,FALSE,FALSE,FALSE,FALSE
봄동물병원,http://blog.naver.com/bomah0508,,1644-9416,서울특별시 강남구 도곡로 115,FALSE,FALSE,FALSE,FALSE
산들산들 동물병원,http://24sdsdah.modoo.at/,,02-393-3588,서울특별시 마포구 마포대로16길 7,FALSE,FALSE,FALSE,FALSE
에코동물병원,http://www.ecoanimal.co.kr/,"특수동물, 기니피그, 토끼, 고슴도치, 햄스터 등 전문진료 및 수술, 강아지, 고양이 수술 및 진료.",02-443-2222,서울특별시 송파구 동남로 161,FALSE,FALSE,FALSE,FALSE
한빛종합동물병원,http://hanvitah.co.kr/,"피부병, 무릎수술, 슬개골 탈구, 고양이, 노령견 클리닉 등 진료안내",02-951-7582,서울특별시 노원구 동일로 1370,FALSE,FALSE,FALSE,FALSE
안박동물병원,,"반려동물 진료, 백신접종, 야간응급진료, 미용, 호텔, 용품, 사료, 동물등록제 안내",02-3664-7511,서울특별시 강서구 양천로 510,FALSE,TRUE,TRUE,TRUE
충현동물종합병원,http://www.pet7582.co.kr/,"애견 건강관리, 치아 보철술, 피부과, 수의내과, 산과 진료 및 애견호텔 운영",02-549-7582,서울특별시 강남구 논현로 621,FALSE,TRUE,FALSE,FALSE
한양동물메디컬센터,http://blog.naver.com/hyamc,"수술 및 진료, 미용, 분양, 교배 등 안내",02-2281-5200,서울특별시 성동구 왕십리로 282,FALSE,FALSE,TRUE,FALSE
세계로동물병원,http://blog.naver.com/claire005,"1층 동물종합메디컬센터 2층고양이전문센터, 외과수술전문, 20년전통, 최신검사장비 및 시설",02-868-3931,서울특별시 관악구 남부순환로 1497,FALSE,FALSE,FALSE,FALSE
한성동물병원,http://www.vetopia.co.kr/,"토끼, 햄스터, 거북, 페럿, 프레리독, 기니피그, 뱀, 조류, 새, 개, 고양이, 고슴도치, 특수동물진료, 애견, 반려견 진료",02-872-7609,서울특별시 관악구 신림로 265,FALSE,FALSE,FALSE,FALSE
늘푸른동물병원,,"고양이, 강아지 진료 및 수술 전문",02-388-3008,서울특별시 은평구 은평로 29,FALSE,FALSE,FALSE,FALSE
24시SKY동물의료센터,http://blog.naver.com/gdskyamc1,,02-472-7579,서울특별시 강동구 천호대로 1122,TRUE,FALSE,FALSE,FALSE
그레이스동물병원,http://www.the-grace.net/,"건강검진센터, 24시야간진료, 슬개골 탈구수술, 난치성노령견질환, 반려동물내시경, 호르몬내과, 심장초음파",02-3442-5554,서울특별시 강남구 학동로6길 18,TRUE,FALSE,FALSE,FALSE
키다리 동물병원,http://blog.naver.com/scarface928,,,서울특별시 송파구 새말로 62,FALSE,FALSE,FALSE,FALSE
24시 수 동물병원,http://blog.naver.com/sooamc,,02-2676-7582,서울특별시 영등포구 영등포로 85-1,TRUE,FALSE,FALSE,FALSE
구로종합동물병원,http://www.guroah.com/,"난치성 내외과질환, 개, 고양이 진료 등 안내",02-2631-0085,서울특별시 구로구 경인로 638,FALSE,FALSE,FALSE,FALSE
이태원동물병원,http://www.vetmedic.co.kr/,"애견상식, 애견사진 등 제공",02-797-6677,서울특별시 용산구 녹사평대로 210,FALSE,FALSE,FALSE,FALSE
래이동물의료센터,http://www.rayvmc.co.kr/,"서울대학교 동물병원 출신 의료진, 야간응급, 석,박사 의료진",02-556-7588,서울특별시 강남구 남부순환로 2911-1,FALSE,FALSE,FALSE,FALSE
24시 명 동물메디컬센터,http://blog.naver.com/petsong1472,"야간응급, 개, 고양이 수술전문, 개 예방접종, 종합검진 안내, 애완동물 상식 제공",02-2619-5102,서울특별시 구로구 남부순환로 775,TRUE,FALSE,FALSE,FALSE
서진동물병원,,,02-887-2165,서울특별시 관악구 봉천로 236,FALSE,FALSE,FALSE,FALSE
힐링24시동물병원,http://healingpet.wme.kr/main,,02-713-8275,서울특별시 마포구 백범로 205,TRUE,FALSE,FALSE,FALSE
아프리카동물메디컬센터,http://www.aamc.co.kr/,"노령견 및 소형견 수술 전문, 내과, CT촬영 등 안내",02-3663-7975,서울특별시 강서구 공항대로 335,FALSE,FALSE,FALSE,FALSE
오렌지동물병원,,"강아지, 고양이 진료 및 수술, 애견 미용, 호텔 운영",02-2297-7582,서울특별시 성동구 행당로8길 41-2,FALSE,TRUE,TRUE,FALSE
